id,avtor,naslov,link,ocena,glasovi
3113,Aleksandr Solzhenitsyn,Cancer Ward,/book/show/254316.Cancer_Ward,4.22,13614
3238,Alessandra Torre,Black Lies,/book/show/22471294-black-lies,4.29,27571
2648,Alessandro Baricco,Ocean Sea,/book/show/208631.Ocean_Sea,4.11,16130
2881,Alessandro Baricco,Silk,/book/show/61264.Silk,3.85,37705
3138,Alessandro Baricco,Novecento. Un monologo,/book/show/61266.Novecento_Un_monologo,4.18,22568
936,Alex Flinn,"Beastly (Beastly, #1; Kendra Chronicles, #1)",/book/show/544891.Beastly,3.83,170348
1385,Alex Garland,The Beach,/book/show/607639.The_Beach,3.94,74407
259,Alex Haley,Roots: The Saga of an American Family,/book/show/546018.Roots,4.43,146762
1760,Alex Michaelides,The Silent Patient,/book/show/40097951-the-silent-patient,4.09,518174
3953,Alexander Gordon Smith,"Lockdown (Escape from Furnace, #1)",/book/show/6420846-lockdown,4.11,18131
700,Alexander McCall Smith,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),/book/show/7061.The_No_1_Ladies_Detective_Agency,3.79,232955
987,Alexander Pushkin,Eugene Onegin,/book/show/27822.Eugene_Onegin,4.1,51763
1116,Alexandra Adornetto,"Halo (Halo, #1)",/book/show/7778981-halo,3.67,64749
3117,Alexandra Adornetto,"Hades (Halo, #2)",/book/show/9666812-hades,3.96,31176
571,Alexandra Bracken,"The Darkest Minds (The Darkest Minds, #1)",/book/show/10576365-the-darkest-minds,4.18,149450
1510,Alexandra Bracken,"Never Fade (The Darkest Minds, #2)",/book/show/16150830-never-fade,4.25,76577
2842,Alexandra Bracken,"In The Afterlight (The Darkest Minds, #3)",/book/show/16150831-in-the-afterlight,4.29,47861
3698,Alexandra Fuller,Don't Let's Go to the Dogs Tonight: An African Childhood,/book/show/24687.Don_t_Let_s_Go_to_the_Dogs_Tonight,3.96,49768
3182,Alexandra Ripley,Scarlett,/book/show/73062.Scarlett,3.54,53315
135,Alexandre Dumas,The Count of Monte Cristo,/book/show/7126.The_Count_of_Monte_Cristo,4.25,748588
161,Alexandre Dumas,"The Three Musketeers (The D'Artagnan Romances, #1)",/book/show/7190.The_Three_Musketeers,4.07,274583
1859,Alexandre Dumas fils,La Dame aux Camélias,/book/show/7186.La_Dame_aux_Cam_lias,4.0,33813
3163,Alexis de Tocqueville,Democracy in America,/book/show/16619.Democracy_in_America,4.03,22163
1932,Alfred Bester,The Stars My Destination,/book/show/333867.The_Stars_My_Destination,4.1,42581
3452,Alfred Bester,The Demolished Man,/book/show/76740.The_Demolished_Man,3.99,28049
1312,Alfred Lansing,Endurance: Shackleton's Incredible Voyage,/book/show/139069.Endurance,4.39,85526
1326,Alice Clayton,"Wallbanger (Cocktail, #1)",/book/show/15858248-wallbanger,4.05,176949
1009,Alice Hoffman,Practical Magic (Practical Magic #1),/book/show/22896.Practical_Magic,3.77,76783
2666,Alice Hoffman,The Dovekeepers,/book/show/10950924-the-dovekeepers,4.04,67671
3079,Alice Oseman,Radio Silence,/book/show/25322449-radio-silence,4.17,34917
50,Alice Sebold,The Lovely Bones,/book/show/12232938-the-lovely-bones,3.82,2019297
2160,Alice Sebold,Lucky,/book/show/82970.Lucky,3.78,92902
81,Alice Walker,The Color Purple,/book/show/52892857-the-color-purple,4.22,523156
3043,Alija Izetbegović,الإسلام بين الشرق والغرب,/book/show/6092250,4.46,9404
1899,Alison Bechdel,Fun Home: A Family Tragicomic,/book/show/26135825-fun-home,4.08,131710
1792,Alison Croggon,"The Naming (The Books of Pellinor, #1)",/book/show/393146.The_Naming,4.01,24291
1653,Alison Goodman,"Eon: Dragoneye Reborn (Eon, #1)",/book/show/2986865-eon,3.94,58430
2421,Alison Goodman,"Eona: The Last Dragoneye (Eon, #2)",/book/show/7992995-eona,4.11,36336
3599,Alison Weir,The Six Wives of Henry VIII,/book/show/10104.The_Six_Wives_of_Henry_VIII,4.1,63141
2712,Alissa Nutting,Tampa,/book/show/17225311-tampa,3.45,20650
685,Allen Ginsberg,Howl and Other Poems,/book/show/6295.Howl_and_Other_Poems,4.13,93789
2971,Allie Brosh,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",/book/show/17571564-hyperbole-and-a-half,4.15,177566
678,Ally Carter,"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",/book/show/852470.I_d_Tell_You_I_Love_You_But_Then_I_d_Have_to_Kill_You,3.83,173972
1150,Ally Carter,"Cross My Heart and Hope to Spy (Gallagher Girls, #2)",/book/show/568645.Cross_My_Heart_and_Hope_to_Spy,4.12,82275
1252,Ally Carter,"Don't Judge a Girl by Her Cover (Gallagher Girls, #3)",/book/show/5267365-don-t-judge-a-girl-by-her-cover,4.2,64766
1358,Ally Carter,"Only the Good Spy Young (Gallagher Girls, #4)",/book/show/6950688-only-the-good-spy-young,4.29,60470
1702,Ally Carter,"Heist Society (Heist Society, #1)",/book/show/6574102-heist-society,3.91,87815
1980,Ally Carter,"Out of Sight, Out of Time (Gallagher Girls, #5)",/book/show/10560331-out-of-sight-out-of-time,4.33,50341
2661,Ally Carter,"United We Spy (Gallagher Girls, #6)",/book/show/13580951-united-we-spy,4.44,30148
3460,Ally Carter,"Uncommon Criminals (Heist Society, #2)",/book/show/10327303-uncommon-criminals,4.13,40844
3742,Ally Carter,"Perfect Scoundrels (Heist Society, #3)",/book/show/13580928-perfect-scoundrels,4.28,23896
434,Ally Condie,"Matched (Matched, #1)",/book/show/7735333-matched,3.66,655666
1302,Ally Condie,"Crossed (Matched, #2)",/book/show/15812814-crossed,3.52,211997
1718,Ally Condie,"Reached (Matched, #3)",/book/show/13125947-reached,3.56,141800
3770,Alwyn Hamilton,"Rebel of the Sands (Rebel of the Sands, #1)",/book/show/24934065-rebel-of-the-sands,3.93,50817
417,Alyson Noel,"Evermore (The Immortals, #1)",/book/show/3975774-evermore,3.59,263876
1008,Alyson Noel,"Blue Moon (The Immortals, #2)",/book/show/6134826-blue-moon,3.61,87854
1548,Alyson Noel,"Shadowland (The Immortals, #3)",/book/show/6581511-shadowland,3.66,77808
1575,Alyson Noel,"Dark Flame (The Immortals, #4)",/book/show/7198988-dark-flame,3.73,58667
2878,Alyson Noel,"Night Star (The Immortals, #5)",/book/show/7739934-night-star,3.81,49553
3241,Alyson Noel,"Everlasting (The Immortals, #6)",/book/show/9395215-everlasting,3.91,44323
3524,Alyson Noel,"Fated (Soul Seekers, #1)",/book/show/12829446-fated,3.68,16821
1030,Amanda Hocking,Switched (Trylle #1),/book/show/12180581-switched,3.88,91431
1431,Amanda Hocking,"Torn (Trylle, #2)",/book/show/11966216-torn,4.04,64976
1501,Amanda Hocking,"Ascend (Trylle, #3)",/book/show/11947829-ascend,4.08,59594
2645,Amanda Hocking,"My Blood Approves (My Blood Approves, #1)",/book/show/30123368-my-blood-approves,3.82,28605
3020,Amelia Atwater-Rhodes,"Hawksong (The Kiesha'ra, #1)",/book/show/30334.Hawksong,4.15,20821
3998,Amelia Hutchins,"Fighting Destiny (The Fae Chronicles, #1)",/book/show/17927559-fighting-destiny,4.05,28414
1169,Amie Kaufman,"Illuminae (The Illuminae Files, #1)",/book/show/23395680-illuminae,4.28,114581
2367,Amie Kaufman,"These Broken Stars (Starbound, #1)",/book/show/13138635-these-broken-stars,3.91,61902
3607,Amie Kaufman,"Gemina (The Illuminae Files, #2)",/book/show/29236299-gemina,4.48,55837
2952,Amin Maalouf,Samarkand,/book/show/142395.Samarkand,4.23,21768
3543,Amin Maalouf,التائهون,/book/show/17191029,4.13,6514
2011,Amish Tripathi,"The Immortals of Meluha (Shiva Trilogy, #1)",/book/show/7913305-the-immortals-of-meluha,4.09,101817
2671,Amish Tripathi,The Secret of the Nagas (Shiva Trilogy #2),/book/show/40948565-the-secret-of-the-nagas,4.06,76712
1814,Amit Ray,Om Chanting and Meditation,/book/show/9009637-om-chanting-and-meditation,3.69,1057
1129,Ammar Habib,The Heart of Aleppo: A Story of the Syrian Civil War,/book/show/40199729-the-heart-of-aleppo,4.33,5658
1397,Ammar Habib,Ana Rocha: Shadows of Justice,/book/show/38726615-ana-rocha,4.23,4865
2128,Ammar Habib,Memories Of My Future,/book/show/31408159-memories-of-my-future,4.31,5421
2993,Ammar Habib,"Dark Guardian (Dark Guardian, #1)",/book/show/32853031-dark-guardian,4.2,4759
1700,Amor Towles,A Gentleman in Moscow,/book/show/34066798-a-gentleman-in-moscow,4.34,297049
3916,Amor Towles,Rules of Civility,/book/show/10054335-rules-of-civility,4.04,148209
3518,Amy A. Bartol,"Inescapable (The Premonition, #1)",/book/show/12925063-inescapable,4.03,35274
3962,Amy Croucher Rose,Avaland,/book/show/40273980-avaland,4.58,26
1721,Amy Harmon,Making Faces,/book/show/27237358-making-faces,4.32,60022
2963,Amy Harmon,What the Wind Knows,/book/show/40407141-what-the-wind-knows,4.3,59944
1346,Amy Plum,"Die for Me (Revenants, #1)",/book/show/9462812-die-for-me,3.98,53317
3501,Amy Plum,"Until I Die (Revenants, #2)",/book/show/12908877-until-i-die,4.16,27923
3906,Amy Poehler,Yes Please,/book/show/20910157-yes-please,3.83,431767
179,Amy Tan,The Joy Luck Club,/book/show/7763.The_Joy_Luck_Club,3.93,598906
983,Amy Tan,The Kitchen God's Wife,/book/show/12557.The_Kitchen_God_s_Wife,4.0,77064
1871,Amy Tan,The Hundred Secret Senses,/book/show/690866.The_Hundred_Secret_Senses,3.99,40270
2343,Amy Tan,The Bonesetter's Daughter,/book/show/12555.The_Bonesetter_s_Daughter,3.98,121652
3622,Amy Tan,Saving Fish from Drowning,/book/show/9503.Saving_Fish_from_Drowning,3.44,29551
3964,Amélie Nothomb,Stupeur et tremblements,/book/show/71458.Stupeur_et_tremblements,3.73,23180
3356,Anastacia Moore,Curse of The Salute,/book/show/17904495-curse-of-the-salute,3.56,360
3492,Anaïs Nin,Delta of Venus,/book/show/11041.Delta_of_Venus,3.62,18789
652,Andre Dubus III,House of Sand and Fog,/book/show/38311414-house-of-sand-and-fog,3.85,125641
977,Andrea Cremer,"Nightshade (Nightshade, #1; Nightshade World, #4)",/book/show/7402393-nightshade,4.01,80037
2456,Andrea Cremer,Bloodrose (Nightshade #3; Nightshade World #6),/book/show/8130839-bloodrose,4.06,27330
2494,Andrea Cremer,Wolfsbane (Nightshade #2; Nightshade World #5),/book/show/7263429-wolfsbane,4.11,46253
3080,Andrea Hirata,Laskar Pelangi,/book/show/1362193.Laskar_Pelangi,4.2,25618
3653,Andrea Hirata,Edensor,/book/show/1464757.Edensor,4.09,13622
3886,Andrea Levy,Small Island,/book/show/44001.Small_Island,3.97,27673
1137,Andrea Luhman,"Missing Wings: Chronicles of the Aranysargas (Aranysargas, #1)",/book/show/39925134-missing-wings,4.33,6050
1661,Andrew    Watson,The Steps: 12 Secrets To Raising Happy and Successful Kids,/book/show/52775419-the-steps,4.64,75
3031,Andrew  Smith,"Winger (Winger, #1)",/book/show/11861815-winger,4.04,22211
800,Andrew Davidson,The Gargoyle,/book/show/2595138-the-gargoyle,3.96,43838
3183,Andrew R.  Williams,The Fyfield Plantation (Arcadia’s Children #2),/book/show/41831457-the-fyfield-plantation,4.3,812
1337,Andrzej Sapkowski,"The Last Wish (The Witcher, #0.5)",/book/show/40603587-the-last-wish,4.13,193399
2348,Andrzej Sapkowski,"Miecz przeznaczenia (Saga o Wiedźminie, #0.7)",/book/show/1128437.Miecz_przeznaczenia,4.29,94128
2704,Andrzej Sapkowski,"Blood of Elves (The Witcher, #1)",/book/show/6043781-blood-of-elves,4.11,107507
3280,Andrzej Sapkowski,"Chrzest ognia (Saga o Wiedźminie, #3)",/book/show/1876770.Chrzest_ognia,4.3,56317
3994,Andrzej Sapkowski,"Czas pogardy (Saga o Wiedźminie, #2)",/book/show/68453.Czas_pogardy,4.2,69393
926,André Aciman,"Call Me By Your Name (Call Me By Your Name, #1)",/book/show/36336078-call-me-by-your-name,4.23,213387
1494,Andy Szpuk,Sliding on the Snow Stone,/book/show/12853168-sliding-on-the-snow-stone,4.07,358
392,Andy Weir,The Martian,/book/show/18007564-the-martian,4.4,821337
2194,Angel Sefer,"Spellbound in His Arms (The Greek Isles Series, #1)",/book/show/18132276-spellbound-in-his-arms,3.89,350
2325,Angela Carter,The Bloody Chamber and Other Stories,/book/show/49011.The_Bloody_Chamber_and_Other_Stories,3.98,39039
3354,Angelo Tsanatelis,Origins,/book/show/11390271-origins,3.87,54
3387,Angelo Tsanatelis,The Rootless,/book/show/11447962-the-rootless,4.29,31
1988,Angie Sage,"Magyk (Septimus Heap, #1)",/book/show/769483.Magyk,3.82,111297
781,Angie Thomas,"The Hate U Give (The Hate U Give, #1)",/book/show/32075671-the-hate-u-give,4.52,508404
